Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,109.18,107.38,1.81,96.75,111.86,110.13,1.73,0.528,0.524,0.564,0.561,49,33,49.87,124.67,119.1,0.528,0.524,0.199,0.213,0.138,0.151,0.24,0.246,111.86,110.13,9.45,10.13,10.51,10.87,33.37,33.3,24.44,23.39,8.68,7.56,4.31,4.79,13.76,15.14,21.8,20.28,3,142,17003,17949,5,36,8,3,1,5,0,0,0,1,4,1,33.1,45,93.1,0.483,9.6,24.9,0.384,19.7,24.7,0.795,13.9,18,10.3,33.6,43.9,26.7,8.9,4.1,119.2,13.1,0.716,0.3,0.137,0.108,0.169,0.284,0.515,0.629,0.429,0.426,0.442,0.372,0.496,0.047,302,0.858,0.254,0.351,10,0
Utah Jazz,100.71,96.77,3.94,90.73,110.58,106.17,4.41,0.527,0.493,0.563,0.531,51,31,51.83,114.65,103.94,0.527,0.493,0.215,0.195,0.142,0.126,0.232,0.211,110.58,106.17,10.59,8.98,10.3,9.93,37.19,34.16,22.11,19.58,7.37,8.03,5.49,4.16,14.23,12.62,20.69,22.14,2,143,19673,17212,14,31,1,5,0,7,0,4,0,3,5,1,29.8,39.9,81.7,0.488,9.4,24.5,0.384,20.5,27.2,0.752,12.9,17.7,10.6,36.3,46.9,19.5,6.4,5.9,109.6,13.1,0.673,0.297,0.152,0.105,0.118,0.327,0.511,0.651,0.413,0.427,0.363,0.372,0.454,0.069,416,0.799,0.28,0.385,14,1
Toronto Raptors,106.85,102.65,4.21,94.27,112.78,108.5,4.29,0.517,0.507,0.561,0.55,51,31,50.66,119.68,113.09,0.517,0.507,0.234,0.223,0.125,0.148,0.25,0.238,112.78,108.5,9.33,10.24,11.21,10.74,34.42,33.77,19.53,23.02,8.74,7.06,5.15,5.1,12.49,14.82,21.99,21.48,9,117,19830,17926,17,37,4,1,1,6,0,1,0,2,3,1,29.5,44.5,93.3,0.477,8.7,23.7,0.367,24.5,30.1,0.813,13.3,19.1,10.8,34.1,45,20.5,7.3,4.3,122.2,13.2,0.711,0.254,0.185,0.12,0.153,0.289,0.505,0.631,0.45,0.449,0.407,0.363,0.372,0.04,256,0.817,0.273,0.381,12,1
San Antonio Spurs,105.33,98.13,7.2,93.5,111.94,104.07,7.86,0.524,0.492,0.564,0.53,61,21,51.38,125.22,107.57,0.524,0.492,0.21,0.192,0.137,0.147,0.24,0.224,111.94,104.07,9.76,8.64,10.67,10.37,35.95,33.65,25.32,22.72,8.53,7.93,6.29,4.31,13.69,14.71,19.41,20.99,7,108,18423,18131,15,22,2,2,0,5,0,2,0,0,2,1,28,42.8,89.7,0.477,8,20.9,0.381,20.1,24.6,0.816,12,15.8,10.2,34.6,44.8,23,7.4,6.3,113.7,13.5,0.719,0.255,0.159,0.116,0.191,0.281,0.5,0.644,0.429,0.391,0.431,0.391,0.525,0.047,292,0.874,0.268,0.433,12,0
Sacramento Kings,102.81,106.68,-3.88,94.19,108.05,112.11,-4.06,0.516,0.527,0.557,0.568,32,50,48.92,114.38,123.33,0.516,0.527,0.22,0.227,0.149,0.14,0.21,0.238,108.05,112.11,9.45,11.48,9.15,10.64,34.02,34.44,23.64,24.88,8.04,8.91,4.18,5.37,14.86,13.98,21.37,21.1,6,140,17608,17489,12,38,3,1,1,8,3,3,2,1,12,0,28.8,39.9,87.2,0.458,8.8,23.1,0.38,21.4,27.3,0.786,14.1,19.3,8.4,33.3,41.7,23.4,7.8,4.1,110.1,13.1,0.709,0.258,0.195,0.1,0.155,0.291,0.496,0.642,0.421,0.412,0.402,0.376,0.506,0.051,309,0.875,0.237,0.416,18,0
Portland Trailblazers,107.94,108.46,-0.52,96.17,110.83,111.61,-0.78,0.52,0.508,0.559,0.554,41,41,49.78,119.84,121,0.52,0.508,0.214,0.241,0.135,0.128,0.23,0.232,110.83,111.61,10.67,9.56,10.41,10.43,34.4,34.86,21.7,21.18,7.2,7.94,5.15,5.47,13.47,12.75,21.74,20.38,8,139,19318,17556,20,18,1,1,4,2,0,3,0,3,8,1,30.7,44.5,94.5,0.47,10.2,27.3,0.374,21.9,27.7,0.791,14,20.2,11.1,32.5,43.6,24,7,5.4,121,13.4,0.678,0.299,0.141,0.091,0.148,0.322,0.499,0.596,0.418,0.441,0.417,0.375,0.444,0.048,306,0.789,0.199,0.375,18,0
Phoenix Suns,107.7,113.33,-5.63,99.61,107.3,112.97,-5.67,0.493,0.525,0.538,0.572,24,58,50.49,115.87,126.21,0.493,0.525,0.231,0.264,0.149,0.145,0.261,0.238,107.3,112.97,7.47,10.03,11.87,10.26,32.93,33.69,19.49,22.1,8.19,8.07,4.89,5.31,14.89,14.45,24.67,22.15,0,152,17284,17619,23,39,5,1,6,3,0,3,1,0,15,0,29.6,43,93.9,0.457,7.8,23.2,0.336,23.8,30.5,0.781,16,23.3,11.7,32.1,43.8,20.6,8,4.8,117.5,12.5,0.745,0.306,0.154,0.12,0.165,0.255,0.491,0.629,0.412,0.402,0.374,0.332,0.421,0.057,358,0.789,0.269,0.329,20,0
Philadelphia 76ers,102.44,108.13,-5.7,97.95,103.79,109.66,-5.87,0.501,0.513,0.54,0.556,28,54,48.81,113.96,123.05,0.501,0.513,0.199,0.234,0.162,0.147,0.224,0.247,103.79,109.66,10.27,9.02,9.98,10.98,33.44,34.6,24.08,22.99,8.56,8.77,5.14,5.47,16.24,14.73,22.16,19.91,5,110,17331,17209,21,27,1,0,5,5,2,5,1,5,14,0,28.3,38.8,87.8,0.443,10.2,30.5,0.334,18.4,23.2,0.792,16.8,21.3,9.3,33.9,43.3,24.9,9.4,5.4,106.3,13.2,0.651,0.309,0.149,0.092,0.1,0.349,0.496,0.638,0.376,0.384,0.344,0.34,0.541,0.047,301,0.875,0.154,0.406,8,0
Orlando Magic,101.07,107.65,-6.57,95.69,104.97,111.57,-6.6,0.489,0.522,0.524,0.559,29,53,48.71,111.43,125.66,0.489,0.522,0.184,0.201,0.134,0.129,0.216,0.226,104.97,111.57,8.88,10.04,10.25,10.11,34.65,37.07,23.05,24.47,7.33,7.9,5.05,5.27,13.37,12.88,20.06,19.36,1,125,17753,17334,30,35,1,2,3,2,0,4,1,2,13,0,29.7,41.7,91.2,0.458,8.5,25.3,0.338,15.8,21.4,0.739,12.7,18.7,10.7,34.3,45,22.8,7.4,5.2,107.8,13.5,0.7,0.266,0.168,0.109,0.157,0.3,0.488,0.616,0.427,0.413,0.39,0.328,0.495,0.042,272,0.874,0.182,0.297,25,0
Oklahoma City Thunder,106.6,105.84,0.76,97.08,109.11,108.61,0.5,0.5,0.511,0.54,0.551,47,35,53.46,118.09,116.87,0.5,0.511,0.22,0.218,0.15,0.135,0.28,0.21,109.11,108.61,8.64,9.06,12.55,9.41,35.23,32.29,21.48,22,8.06,8.76,5.18,5.61,14.99,13.5,21.41,21.24,2,131,18203,18374,24,40,1,1,2,4,0,1,0,1,6,1,29.3,42.3,93.1,0.454,8.8,26.7,0.332,22,29.2,0.755,16.9,19.5,12.5,37.9,50.5,25.4,8.9,5.1,115.4,12.1,0.705,0.346,0.146,0.104,0.109,0.295,0.504,0.614,0.418,0.391,0.379,0.327,0.466,0.063,401,0.773,0.252,0.345,19,2
New York Knicks,104.34,108.01,-3.67,95.6,108.18,112.16,-3.98,0.498,0.512,0.536,0.551,31,51,50.23,117.7,121.11,0.498,0.512,0.189,0.214,0.137,0.129,0.266,0.26,108.18,112.16,8.9,10.21,12.42,12.08,34.39,34.37,22.58,22.62,7.4,7.8,5.69,4.72,13.69,12.88,21.09,19.2,5,125,19774,17928,10,24,6,0,3,5,1,3,1,0,12,0,30.7,42.8,95,0.451,8.6,23.8,0.359,18.8,23.4,0.803,12.6,18.9,11.2,32.2,43.4,20.9,6.6,5.1,113.1,13.2,0.721,0.291,0.126,0.132,0.172,0.279,0.485,0.591,0.381,0.44,0.419,0.348,0.469,0.04,267,0.845,0.229,0.425,23,0
New Orleans Pelicans,104.34,106.44,-2.1,97.22,106.11,108.19,-2.08,0.504,0.509,0.539,0.543,34,48,47.49,118.55,122.56,0.504,0.509,0.192,0.177,0.126,0.137,0.187,0.234,106.11,108.19,9.53,10.7,8.81,10.87,35.68,38.29,23.18,23.81,7.93,7.48,5.69,4.34,12.55,13.67,18.48,19.6,1,148,16173,18063,10,58,1,0,1,3,0,2,0,3,10,0,29.5,40.4,88,0.46,8.6,24,0.359,19.9,25.7,0.772,13.4,17.3,8.7,38.1,46.9,24.2,8,6.3,109.4,13.3,0.692,0.279,0.17,0.094,0.149,0.308,0.495,0.627,0.417,0.427,0.38,0.35,0.503,0.048,313,0.833,0.219,0.373,11,0
Minnesota Timberwolves,105.57,106.68,-1.11,94.16,111.42,112.34,-0.93,0.511,0.535,0.555,0.571,31,51,51.22,120.89,120.18,0.511,0.535,0.229,0.212,0.142,0.146,0.273,0.242,111.42,112.34,7.74,10.42,12.12,10.39,32.69,32.2,24.97,24.35,8.42,8.13,4.75,5.3,14.2,14.55,21.18,21.59,0,156,14810,18113,28,85,0,1,0,6,2,1,1,2,13,0,34.4,42.9,90.3,0.476,7.6,20.9,0.364,22.1,27.2,0.813,14.2,17.8,11.9,32,43.9,25.2,7.4,4.6,115.6,12.4,0.751,0.304,0.164,0.097,0.186,0.249,0.507,0.645,0.437,0.392,0.402,0.349,0.535,0.059,382,0.884,0.267,0.393,11,0
Milwaukee Bucks,103.62,103.81,-0.18,93.77,109.95,109.89,0.06,0.528,0.518,0.565,0.557,42,40,48.76,120.07,118.18,0.528,0.518,0.211,0.215,0.142,0.148,0.215,0.246,109.95,109.89,9.32,10.54,9.34,10.94,33.53,34.02,25.67,25.48,8.62,7.86,5.68,4.89,14.2,14.77,21.49,20.39,0,156,15828,17928,22,33,2,2,2,3,0,2,0,2,6,1,28.6,40.3,83.7,0.481,8.6,23.4,0.366,19.4,25,0.776,13.3,18.9,8.2,31.7,39.8,25.4,7.9,5.9,108.5,11.8,0.71,0.351,0.174,0.077,0.108,0.29,0.516,0.644,0.402,0.377,0.387,0.37,0.534,0.073,448,0.928,0.276,0.387,12,0
Miami Heat,103.17,102.11,1.06,94.2,108.97,107.54,1.43,0.513,0.497,0.541,0.54,41,41,50.07,115.29,112.62,0.513,0.497,0.177,0.22,0.133,0.137,0.242,0.236,108.97,107.54,10.41,8.21,11.26,10.72,34.87,35.14,22.44,20.69,7.55,7.15,6.09,5.22,13.33,13.69,21.64,19.65,0,135,19644,17819,29,25,4,3,0,3,1,1,0,1,9,0,29,41.2,89.2,0.461,9.4,25.6,0.369,15.2,21.6,0.702,13.4,19.3,11.3,34.1,45.3,22.2,6.8,5.5,106.9,13,0.686,0.29,0.169,0.094,0.131,0.314,0.496,0.63,0.412,0.387,0.389,0.365,0.427,0.054,350,0.89,0.301,0.4,14,0
