Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Future Wins,Team EFg%,Opp EFg%,Team FT Rate,Opp FT Rate%,Team TO Rate,Opp TO Rate,Team Off. Reb.%,Opp Reb Rate%,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,4 Point Plays,'And one' Plays,Avg. Home Attendance,Avg. Away Attendance,Defensive Goaltending Vio.,Kicked Ball Vio.,Ejections,Won Without Trailing,Lost Without Taking Lead,Player Signings,Large Player Signings,Draft Picks,Top 10 Draft Picks,Trades,Seed Number,Future Seed Number,Playoff,Future Playoff,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Dist.,2P,0--3,3--10,10--16,16 <3,3P,2P,0--3,3--10,10--16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Washington Wizards,91.49,92.5,-1.01,88.32,102.81,103.76,-0.95,0.46,0.477,0.513,0.52,37,45,49.37,102,104.56,25,0.46,0.477,0.253,0.212,0.142,0.152,0.273,0.284,102.81,103.76,3.47,6.14,12.57,12.98,32.82,33.48,22.09,24.3,8.51,8.37,5.35,4.9,14.18,15.23,22.53,24.68,0,116,20173,19311,12,10,3,3,3,2,1,2,1,0,9,13,0,0,32.7,36.2,81.6,0.444,2.9,9.2,0.314,20.9,26,0.805,12.9,17.8,10,29,39,21.6,7.6,4.8,96.3,12.7,0.873,0.231,0.13,0.203,0.309,0.127,0.459,0.623,0.313,0.423,0.422,0.312,0.541,0.043,265,0.893,0.276,0.335,2,0
Utah Jazz,94.66,92.27,2.39,89.55,105.18,102.38,2.8,0.486,0.468,0.537,0.519,47,35,52.07,112.71,98.6,42,0.486,0.468,0.283,0.256,0.177,0.17,0.325,0.298,105.18,102.38,3.04,5.91,13.84,13.68,32.26,28.69,28.5,21.66,9.58,9.8,6.33,5.78,17.68,16.96,24.89,26.39,0,107,19172,16586,17,19,6,7,1,1,0,2,0,1,7,9,1,0,29.8,38,77.9,0.488,2.1,5.4,0.383,22.5,30.1,0.748,15.1,21.1,12,30,42,27.1,8.7,4.6,100.6,11.1,0.896,0.337,0.111,0.139,0.31,0.104,0.481,0.634,0.338,0.392,0.406,0.349,0.713,0.039,231,0.884,0.2,0.391,10,1
Toronto Raptors,90.89,96.76,-5.87,89.91,100.46,107.03,-6.57,0.458,0.489,0.498,0.532,24,58,48.57,97.11,111.48,33,0.458,0.489,0.203,0.226,0.149,0.146,0.282,0.293,100.46,107.03,5.51,4.99,13.79,13.17,31.74,35.09,21.34,23.32,8.21,8.15,5.28,5.48,14.91,14.57,23.74,22.96,1,101,18964,16509,21,25,3,0,2,5,0,2,1,2,14,10,0,0,34,35.3,81.7,0.432,4.5,13.3,0.337,17.4,24.1,0.72,11.8,19.1,12,28.6,40.7,19.4,7.5,4.4,92.4,12.4,0.821,0.278,0.135,0.144,0.263,0.179,0.446,0.586,0.366,0.381,0.374,0.343,0.51,0.042,259,0.829,0.272,0.389,10,0
Seattle SuperSonics,92.13,92.26,-0.12,88.01,103.76,103.8,-0.04,0.472,0.484,0.512,0.524,40,42,49.61,103.16,102.39,37,0.472,0.484,0.201,0.21,0.141,0.159,0.281,0.282,103.76,103.8,6.26,6.48,13.23,12.87,32.76,33.78,24.38,23.37,9.33,6.86,4.05,5.61,14.09,15.89,23.51,22.93,0,108,15541,16243,15,27,8,4,1,1,0,3,0,1,10,12,0,0,32.4,37,83.5,0.443,6.5,17.9,0.363,17.3,22.9,0.757,12.2,19.1,11.6,28.2,39.8,23.7,8.5,2.6,97.7,12.6,0.804,0.247,0.177,0.129,0.25,0.196,0.458,0.633,0.366,0.426,0.366,0.353,0.56,0.037,221,0.906,0.268,0.344,10,0
San Antonio Spurs,95.81,90.39,5.42,90.51,105.06,99.17,5.88,0.497,0.453,0.541,0.496,60,22,51.05,108.45,97.42,57,0.497,0.453,0.253,0.199,0.169,0.158,0.288,0.287,105.06,99.17,6,4.74,12.56,13.77,34.18,31.07,21.88,20.86,8.41,8.9,7.07,5.65,16.85,15.75,22.36,25.62,0,110,17950,16560,7,19,6,5,0,5,2,1,0,2,1,3,1,1,32.2,37.3,78.3,0.476,5,14.4,0.347,19.2,27,0.71,14.7,17.7,11.3,33.3,44.6,20.9,7,7.9,98.8,11.2,0.798,0.313,0.189,0.133,0.163,0.202,0.489,0.634,0.423,0.388,0.371,0.354,0.499,0.058,322,0.909,0.4,0.376,10,0
Sacramento Kings,101.73,95.23,6.5,95.53,105.69,98.69,7,0.499,0.446,0.535,0.489,59,23,49.27,119.95,104.02,55,0.499,0.446,0.196,0.204,0.148,0.151,0.256,0.294,105.69,98.69,6.22,4.71,11.4,14.47,34.85,33.03,25.77,22.23,9.33,8.64,5.79,4.5,14.84,15.1,21.11,20.66,0,103,17317,17924,18,31,4,6,0,2,0,0,0,4,2,4,1,1,33.7,41.4,87.3,0.475,6,15.9,0.38,18.5,24.3,0.76,14.7,17.5,9.5,33,42.5,27.9,10.2,5,107.4,12.5,0.816,0.282,0.142,0.099,0.293,0.184,0.482,0.652,0.38,0.375,0.405,0.381,0.583,0.048,308,0.874,0.362,0.431,25,0
Portland Trailblazers,95.16,92.55,2.61,89.1,105.86,102.74,3.13,0.489,0.483,0.531,0.522,50,32,51.26,108.39,104.13,41,0.489,0.483,0.223,0.194,0.161,0.163,0.302,0.277,105.86,102.74,5.14,5.93,13.46,12.35,32.26,31.03,25.23,25.22,9.84,9.25,4.29,5.29,16.08,16.26,22.17,22.61,1,119,19421,16459,14,23,5,2,3,0,0,2,0,0,6,10,1,0,32.1,36.6,79.6,0.46,5.9,17.6,0.338,17,22.7,0.752,14.4,18.2,11.3,29.7,41.1,22.5,8.7,3.9,96.2,11.4,0.823,0.317,0.159,0.132,0.215,0.177,0.488,0.635,0.407,0.42,0.374,0.33,0.585,0.059,350,0.881,0.235,0.356,22,0
Phoenix Suns,95.54,94.4,1.14,91.55,103.69,102.46,1.23,0.473,0.47,0.514,0.516,44,38,49.79,105.82,106.55,29,0.473,0.47,0.211,0.222,0.154,0.164,0.297,0.297,103.69,102.46,5.22,5.77,13.89,13.65,32.3,32.92,22.75,24.14,8.8,8.46,5.35,6,15.42,16.41,23.84,23.34,2,137,16258,16319,36,20,4,0,2,0,0,1,0,1,8,13,1,0,33.4,40.3,89.5,0.45,5.1,14.7,0.346,19.6,25.9,0.756,15,19.3,12.3,30.9,43.2,22.9,8.3,4.7,105.3,11.2,0.83,0.323,0.148,0.147,0.213,0.17,0.464,0.575,0.395,0.386,0.398,0.343,0.53,0.055,339,0.85,0.361,0.398,14,0
Philadelphia 76ers,96.84,94.54,2.3,92.14,104.17,101.73,2.44,0.466,0.488,0.52,0.534,48,34,51.1,109.37,106.09,33,0.466,0.488,0.263,0.243,0.152,0.178,0.303,0.273,104.17,101.73,3.21,5.95,13.67,11.92,31.68,31.5,23.23,23.74,11.07,8.39,3.73,6.84,15.18,17.78,23.67,24.74,1,120,19685,18408,22,15,1,1,1,1,0,1,0,3,4,11,1,0,34.1,38.7,86.9,0.445,3.3,10.7,0.308,23.7,30,0.791,15,19.1,11.2,28.4,39.6,24.3,10.5,2.9,104.4,10.1,0.881,0.367,0.144,0.169,0.202,0.119,0.466,0.58,0.407,0.352,0.398,0.311,0.567,0.032,199,0.91,0.283,0.345,6,1
Orlando Magic,98.51,98.38,0.13,93.26,104.96,104.82,0.14,0.478,0.486,0.526,0.534,42,40,48.44,105.89,111.49,21,0.478,0.486,0.239,0.25,0.148,0.167,0.27,0.289,104.96,104.82,7.38,5.26,12.45,12.6,31.08,33.73,21.78,23.87,9.04,8.36,3.9,5.34,14.79,16.7,24.53,23.69,4,128,14778,17306,33,9,2,4,1,2,1,2,0,1,8,15,1,0,30.9,40.7,90.8,0.449,8,21.7,0.367,22.3,28.3,0.787,14.3,20.3,10.5,29.9,40.4,21.9,8.3,3.3,111.8,13.5,0.765,0.292,0.08,0.098,0.295,0.235,0.46,0.557,0.381,0.388,0.408,0.357,0.515,0.035,218,0.792,0.188,0.341,9,0
New York Knicks,95.85,97.21,-1.35,90.85,104.58,106.03,-1.45,0.486,0.485,0.528,0.536,37,45,47.56,104.15,110.15,39,0.486,0.485,0.196,0.261,0.148,0.151,0.244,0.282,104.58,106.03,8.06,4.76,11.2,12.44,31.61,34.76,23.95,23.04,7.7,8.34,3.39,4.1,14.82,15.1,25.12,21.7,0,109,19012,17105,5,9,1,1,1,0,0,3,1,1,10,7,0,1,32.7,38.8,86.9,0.446,8.1,21,0.386,16.5,19.8,0.832,13.4,21.3,8.5,27.3,35.8,22.6,6.4,2.9,102.2,13.5,0.765,0.21,0.145,0.188,0.222,0.235,0.459,0.554,0.437,0.436,0.403,0.383,0.555,0.017,102,0.807,0.263,0.425,12,0
New Orleans Hornets,93.89,91.78,2.11,89.83,103.34,101.33,2.01,0.465,0.464,0.511,0.511,47,35,52.15,106.74,100.44,41,0.465,0.464,0.219,0.226,0.155,0.156,0.317,0.269,103.34,101.33,5.42,4.55,14.73,12.24,33.22,31.88,24.26,21.95,8.81,8.71,5.29,5.75,15.45,15.61,23.75,23.62,0,96,15651,16482,20,7,1,1,0,2,0,2,0,0,5,5,1,1,34.6,37.2,83.9,0.444,6.1,16,0.382,18,23.2,0.774,13.7,18.5,12.8,30,42.8,23.5,7.5,4.2,98.6,12,0.839,0.278,0.132,0.187,0.241,0.161,0.447,0.563,0.392,0.402,0.377,0.376,0.582,0.043,259,0.854,0.251,0.43,6,0
New Jersey Nets,95.37,90.15,5.22,91.52,103.81,97.82,5.99,0.468,0.46,0.518,0.505,49,33,50.91,108.79,97.78,47,0.468,0.46,0.252,0.225,0.157,0.172,0.287,0.269,103.81,97.82,4.59,5.62,13.16,12.33,33.56,32.57,25.05,21.27,9.52,9.17,4.97,5.6,15.72,17.18,23.52,24.88,1,131,15185,16957,23,33,7,3,3,1,1,2,0,1,2,2,1,1,32.8,37.7,83,0.454,4.3,12.8,0.338,22.8,30.1,0.757,14.9,18.8,12,32.1,44.2,25.9,9.3,4.5,102.5,11.3,0.842,0.34,0.133,0.112,0.258,0.158,0.462,0.603,0.371,0.362,0.366,0.332,0.617,0.069,406,0.89,0.19,0.389,11,0
Minnesota Timberwolves,98.12,96.05,2.07,91.95,106.04,103.91,2.13,0.488,0.472,0.529,0.512,51,31,51.11,116.18,106.71,58,0.488,0.472,0.207,0.203,0.144,0.14,0.282,0.272,106.04,103.91,3.9,6.23,12.64,12.85,34.45,32.24,27.28,24.68,7.29,7.53,5.71,5.34,14.38,14.04,22.46,22.24,0,93,15700,16658,19,10,1,1,0,4,1,2,0,2,4,1,1,1,32.5,41.7,87.6,0.476,3.9,10.6,0.373,16.7,21.4,0.78,13.6,18.8,11.6,34.1,45.7,26.6,6.5,5.7,104.1,12.3,0.882,0.249,0.15,0.156,0.327,0.118,0.479,0.622,0.435,0.42,0.418,0.368,0.632,0.043,278,0.851,0.239,0.37,7,1
Milwaukee Bucks,99.49,99.26,0.23,90.67,108.48,108.3,0.18,0.5,0.494,0.543,0.538,42,40,47.66,111.48,112.35,41,0.5,0.494,0.222,0.237,0.132,0.149,0.256,0.301,108.48,108.3,7.78,6.37,11.65,13.59,31.48,33.81,24.24,25.18,8.27,7.23,4.58,4.43,13.25,14.88,24.2,22.42,2,100,16243,16328,11,15,2,1,3,4,0,3,1,2,7,6,1,1,30.8,38.7,84.4,0.459,6,16.3,0.369,19.1,23.9,0.801,12.7,21.5,9.7,28.8,38.5,23.4,6.6,3.6,102.6,12.6,0.771,0.267,0.136,0.191,0.177,0.229,0.478,0.599,0.406,0.431,0.403,0.383,0.527,0.029,171,0.899,0.259,0.352,13,0
